sample_id,Proceso electoral y pluralismo,Funcionamiento del gobierno,Participación política,Cultura política,Libertades civiles,overall_score,data_status
176,8.7510637312455,6.029940324544776,4.950925894953848,3.2665358631372947,6.4015341861185835,5.880000000000001,modeled_latent_ensemble
177,8.879973407235502,5.912666504637818,5.012592543953507,3.2223250822058676,6.372442461967307,5.88,modeled_latent_ensemble
178,8.944739622431229,5.956126242751796,4.9829503238208686,3.0691455959334446,6.447038215062663,5.880000000000001,modeled_latent_ensemble
179,8.979776075707424,5.956037408833736,5.200279154177122,2.815626377905734,6.4482809833759855,5.88,modeled_latent_ensemble
180,9.01562973424166,6.0854393800530495,5.033117006643701,2.979938366197284,6.2858755128643065,5.88,modeled_latent_ensemble
181,8.809623879419462,5.8963534491016345,5.028948034166179,3.343455234964545,6.321619402348181,5.880000000000001,modeled_latent_ensemble
182,8.800354401006567,6.050054065570994,5.149631175888629,2.88713208982392,6.5128282677098905,5.880000000000001,modeled_latent_ensemble
183,8.797434490141251,5.974674567625211,5.093836971243268,3.1714780016677064,6.362575969322564,5.88,modeled_latent_ensemble
184,9.000753968713203,6.094891552172033,5.125050047571821,2.695615643680231,6.483688787862713,5.88,modeled_latent_ensemble
185,8.866233359033156,6.137871640934284,4.9828036047625135,3.0099928844334882,6.403098510836559,5.88,modeled_latent_ensemble
186,8.973755494892114,6.1998134450025315,5.261588507793962,2.4358964942398957,6.528946058071498,5.88,modeled_latent_ensemble
187,8.761350895299952,5.983368870160091,4.88226861024029,3.3870057882158604,6.386005836083808,5.880000000000001,modeled_latent_ensemble
188,8.834076950708091,6.019679489487841,4.9465599270923315,3.2950835945691623,6.304600038142575,5.880000000000001,modeled_latent_ensemble
189,8.933597975372367,6.087216738017444,5.206294845477513,2.687681930280618,6.48520851085206,5.880000000000001,modeled_latent_ensemble
190,8.789783175119464,5.978718436564379,5.051968209801374,3.0676878662969083,6.511842312217875,5.88,modeled_latent_ensemble
191,9.013852063268027,5.939168006159567,4.816827852936746,3.4294867897006673,6.200665287934994,5.880000000000001,modeled_latent_ensemble
192,8.895789679149201,6.17080522329623,5.0836463141399335,2.72206159093288,6.527697192481757,5.880000000000001,modeled_latent_ensemble
193,8.789933984041838,5.971798497959134,4.91823847805732,3.384842712982198,6.335186326959512,5.880000000000001,modeled_latent_ensemble
194,8.865641138529957,5.9199291997814445,5.209842401184905,2.8461506879631298,6.558436572540565,5.88,modeled_latent_ensemble
195,8.897624058091186,5.9559252766758055,5.212380976081363,2.919870610020874,6.414199079130774,5.880000000000001,modeled_latent_ensemble
196,8.913562569067883,6.042455598948627,5.108706289851843,2.76868421497624,6.566591327155408,5.88,modeled_latent_ensemble
197,8.997683744585427,6.1241641102492945,5.234732941269601,2.5782221099519833,6.465197093943695,5.88,modeled_latent_ensemble
198,8.771165010087469,6.029237988147547,4.949597347679904,3.4049330571247585,6.2450665969603225,5.88,modeled_latent_ensemble
199,8.860329228921966,5.876476578348864,5.1553407539514176,2.9439741128627026,6.563879325915051,5.88,modeled_latent_ensemble
200,8.958354264806305,6.099017396113063,5.086331656715071,3.11576056455548,6.140536117810082,5.880000000000001,modeled_latent_ensemble
201,8.872172728265998,6.014474825279306,5.235247286878832,2.859823358352125,6.418281801223741,5.880000000000001,modeled_latent_ensemble
202,8.897365980581245,6.069481361717735,5.008854598597237,3.1299991437720136,6.294298915331771,5.88,modeled_latent_ensemble
203,8.997133721676699,6.032495647896992,5.039875311343657,3.088320943720119,6.242174375362534,5.880000000000001,modeled_latent_ensemble
204,8.98938119171285,6.014698875986563,5.171357094399816,2.902598416769332,6.321964421131439,5.880000000000001,modeled_latent_ensemble
205,8.763819959567465,5.913273642046083,5.096083508599619,3.247878079520886,6.378944810265947,5.880000000000001,modeled_latent_ensemble
206,8.875427545468922,6.045588935924137,5.014969901923993,3.103432384148223,6.360581232534726,5.880000000000001,modeled_latent_ensemble
207,9.03731138890783,6.199276113890354,5.071253543031498,2.5603582712547213,6.531800682915598,5.880000000000001,modeled_latent_ensemble
208,8.79988635950129,5.952964742742507,5.215378604658709,2.9774532381801637,6.454317054917332,5.880000000000001,modeled_latent_ensemble
209,8.8368073256841,5.9668091483526595,5.227430361770867,3.146350310376348,6.222602853816027,5.880000000000001,modeled_latent_ensemble
210,8.922227478220883,6.038303270577277,5.075242848644692,3.056291317431525,6.307935085125626,5.880000000000001,modeled_latent_ensemble
211,8.874190330437408,6.0692758843479035,5.116277271085938,2.949880079996116,6.3903764341326355,5.88,modeled_latent_ensemble
212,8.878216172865033,5.896953163915629,5.161070599009261,3.0755588679147783,6.3882011962953005,5.880000000000001,modeled_latent_ensemble
213,9.025388906011713,6.0110192426945375,5.151993318292882,2.696416090820161,6.515182442180707,5.88,modeled_latent_ensemble
214,8.848751996982546,5.997437857977116,5.130848520949439,2.948306826968464,6.474654797122436,5.880000000000001,modeled_latent_ensemble
215,8.910057309519976,6.162180701960754,4.990607237737138,2.9871451314539317,6.3500096193282,5.880000000000001,modeled_latent_ensemble
216,8.901763434274535,6.058950854972519,4.975696398249615,2.8549826271406227,6.608606685362709,5.88,modeled_latent_ensemble
217,8.977435262692973,6.055629083053113,4.816770940681075,3.114331183584759,6.43583352998808,5.880000000000001,modeled_latent_ensemble
218,8.803077913884822,5.895462845551483,4.925009490219503,3.3310014660444627,6.4454482842997285,5.88,modeled_latent_ensemble
219,8.799057260073953,6.145586377161841,5.311715796867311,2.935468104558142,6.208172461338755,5.88,modeled_latent_ensemble
